Name;Position;Duration;Poolaeg;Põhimoment;Tsoon1;Tsoon2;Tsoon3;Opening;Pressing;Outcome;Result;Shot2;Standard last/4;Field Position
 DD STAN_KICKOFF POS WINOPENSTAN;0;18883;2.;DD;;;;;;POS;WINOPENSTAN;;STAN_KICKOFF;
 AA THROWIN_OPEN POS KEEPPOS;14552;14273;2.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S1 S2 MIDPRESS NEG -;18089;35361;2.;AA;S1;S2;;;MIDPRESS;NEG;-;;;
 AD S2 POS -;34544;34222;2.;AD;S2;;;;;POS;-;;;M2/2
 DD S1 HIGHPRESS POS -;63101;15208;2.;DD;S1;;;;HIGHPRESS;POS;-;;;
 DD THROWIN_OPEN POS WINOPENSTAN;89561;12939;2.;DD;;;;THROWIN_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN NEG -;98636;17343;2.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 AD S2 S3 NEG ENTRY;100410;30018;2.;AD;S2;S3;;;;NEG;ENTRY;;;M2/2
 DD S2 MIDPRESS POS -;124896;20546;2.;DD;S2;;;;MIDPRESS;POS;-;;;
 DD FK_OPEN NEG -;139511;15074;2.;DD;;;;FK_OPEN;;NEG;-;;;
 DD S2 MIDPRESS POS -;144115;37230;2.;DD;S2;;;;MIDPRESS;POS;-;;;
 DA S2 NEG -;159269;30151;2.;DA;S2;;;;;NEG;-;;;R2/1
 AD S2 S3 NEG SHOTGOAL;177420;52040;2.;AD;S2;S3;;;;NEG;SHOTGOAL;;;M2/2
 AA STAN_KICKOFF POS KEEPPOS;236774;16676;2.;AA;;;;;;POS;KEEPPOS;;STAN_KICKOFF;
 AA S1 S2 S3 MIDPRESS POS SHOTOFF;246451;24517;2.;AA;S1;S2;S3;;MIDPRESS;POS;SHOTOFF;;;
 DD GK_OPENSHORT POS WINOPENSTAN;282020;43636;2.;DD;;;;GK_OPENSHORT;;POS;WINOPENSTAN;;;
 AA FK_OPEN POS KEEPPOS;327031;19012;2.;AA;;;;FK_OPEN;;POS;KEEPPOS;;;
 AA S1 S2 MIDPRESS NEG -;328900;31090;2.;AA;S1;S2;;;MIDPRESS;NEG;-;;;
 AD S2 POS KEEPPOS;344954;31419;2.;AD;S2;;;;;POS;KEEPPOS;;;L2/2
 AA S1 S2 GK_SHORT MIDPRESS NEG -;375947;48808;2.;AA;S1;S2;;GK_SHORT;MIDPRESS;NEG;-;;;
 AD S2 POS KEEPPOS;407884;28416;2.;AD;S2;;;;;POS;KEEPPOS;;;M2/1
 AA FK_OPEN MIDPRESS NEG -;434472;23816;2.;AA;;;;FK_OPEN;MIDPRESS;NEG;-;;;
 AD S1 S2 S3 NEG SHOTOFF;444787;39160;2.;AD;S1;S2;S3;;;NEG;SHOTOFF;;;M1
 AA GK_OPENSHORT POS ENTRY;485256;30023;2.;AA;;;;GK_OPENSHORT;;POS;ENTRY;;;
 DD GK_OPENSHORT NEG WINOPENSTAN;525096;23282;2.;DD;;;;GK_OPENSHORT;;NEG;WINOPENSTAN;;;
 DD THROWIN_OPEN NEG ENTRY;554025;19212;2.;DD;;;;THROWIN_OPEN;;NEG;ENTRY;;;
 DD THROWIN_OPEN POS -;584422;17410;2.;DD;;;;THROWIN_OPEN;;POS;-;;;
 DA S1 S2 NEG KEEPPOS;587096;26547;2.;DA;S1;S2;;;;NEG;KEEPPOS;;;M1
