ID;Half;Event;Player;Team;"Video time";"Football time";"X coordinate";"Y coordinate";Details
1;"1st half";pass;"9. Aston VISSE";"ESTONIA NATIONAL TEAM U17";0.666;0.2;0.4937;0.5003;"{""third"":""middle"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""backward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
2;"1st half";pass_received;"6. Gustav KAMARIN WAGNER";"ESTONIA NATIONAL TEAM U17";2.066;1.6;0.3926;0.3785;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
3;"1st half";pass;"6. Gustav KAMARIN WAGNER";"ESTONIA NATIONAL TEAM U17";2.966;2.5;0.3926;0.4038;"{""third"":""middle"",""length"":""medium"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
4;"1st half";pass_received;"2. Andreas PODER";"ESTONIA NATIONAL TEAM U17";5.066;4.6;0.3568;0.8059;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
5;"1st half";pass;"2. Andreas PODER";"ESTONIA NATIONAL TEAM U17";6.533;6.066;0.394;0.8128;"{""third"":""middle"",""length"":""long"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""not_under_pressure""}"
6;"1st half";aerial_duel;"3. Davit TSKVITAIA";"GEORGIA NATIONAL TEAM U17";9.466;9;0.2295;0.5939;"{""third"":""defensive"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
7;"1st half";aerial_duel;"8. Andero KAARES";"ESTONIA NATIONAL TEAM U17";9.466;9;0.7705;0.4061;"{""third"":""final"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
8;"1st half";recovery;"3. Davit TSKVITAIA";"GEORGIA NATIONAL TEAM U17";9.6;9.133;0.2354;0.5548;"{""body_part"":""head"",""outcome"":""success""}"
9;"1st half";pass;"3. Davit TSKVITAIA";"GEORGIA NATIONAL TEAM U17";9.633;9.166;0.2295;0.5548;"{""third"":""defensive"",""length"":""short"",""restart"":""no"",""body_part"":""head"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
10;"1st half";interception;"10. Robert MIHALEVSKY";"ESTONIA NATIONAL TEAM U17";10.866;10.4;0.7155;0.3808;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
